,IV,strike,volume
MO171006C00055000,1.25,55.0,1
MO171006C00056000,1.1094,56.0,1
MO171006C00057000,1.4531,57.0,3
MO171006C00059000,0.7188,59.0,4
MO171006C00059500,0.6484000000000001,59.5,4
MO171006C00060500,0.5156000000000001,60.5,3
MO171006C00061000,0.5352,61.0,11
MO171006C00061500,0.5586,61.5,11
MO171006C00062000,0.4668,62.0,20
MO171006C00062500,0.3848,62.5,42
MO171006C00063000,0.36329999999999996,63.0,22
MO171006C00063500,0.2256,63.5,194
MO171006C00064000,0.166,64.0,58
MO171006C00064500,0.18359999999999999,64.5,46
MO171006C00065000,0.1953,65.0,43
MO171006C00065500,0.2969,65.5,2
MO171006C00066000,0.4219,66.0,100
MO171006C00066500,0.4961,66.5,100
MO171006C00067000,0.5508,67.0,101
MO171006C00067500,0.6328,67.5,5
MO171006C00068000,0.6640999999999999,68.0,20
MO171006P00050000,1.9375,50.0,6
MO171006P00055000,1.5781,55.0,9
MO171006P00055500,1.4531,55.5,2
MO171006P00056000,2.541,56.0,5
MO171006P00057000,1.4180000000000001,57.0,1
MO171006P00057500,1.0156,57.5,5
MO171006P00058000,1.125,58.0,1
MO171006P00058500,1.6172,58.5,1
MO171006P00059000,0.7968999999999999,59.0,1
MO171006P00059500,0.5625,59.5,100
MO171006P00060000,0.6875,60.0,5
MO171006P00060500,0.4844,60.5,4
MO171006P00061000,0.5352,61.0,20
MO171006P00061500,0.39840000000000003,61.5,10
MO171006P00062000,0.3281,62.0,13
MO171006P00062500,0.2734,62.5,14
MO171006P00063000,0.207,63.0,20
MO171006P00063500,0.1924,63.5,35
MO171006P00064000,0.15039999999999998,64.0,25
MO171006P00064500,0.1524,64.5,32
MO171006P00065000,0.35350000000000004,65.0,59
MO171006P00065500,0.2656,65.5,19
MO171006P00066000,0.5195000000000001,66.0,2
MO171006P00066500,0.46880000000000005,66.5,2
MO171006P00067000,0.7148,67.0,2
